PERMNO,date,TICKER,PRC,SHROUT
10107,1996-01-02,MSFT,89.75000,590000
10107,1996-01-03,MSFT,86.87500,590000
10107,1996-01-04,MSFT,87.37500,590000
10107,1996-01-05,MSFT,86.37500,590000
10107,1996-01-08,MSFT,86.25000,590000
10107,1996-01-09,MSFT,80.18750,590000
10107,1996-01-10,MSFT,82.37500,590000
10107,1996-01-11,MSFT,86.62500,590000
10107,1996-01-12,MSFT,85.75000,590000
10107,1996-01-15,MSFT,82.50000,590000
10107,1996-01-16,MSFT,86.37500,590000
10107,1996-01-17,MSFT,84.87500,590000
10107,1996-01-18,MSFT,87.62500,590000
10107,1996-01-19,MSFT,91.87500,590000
10107,1996-01-22,MSFT,92.00000,590000
10107,1996-01-23,MSFT,89.50000,590000
10107,1996-01-24,MSFT,91.25000,590000
10107,1996-01-25,MSFT,89.37500,590000
10107,1996-01-26,MSFT,90.50000,590000
10107,1996-01-29,MSFT,90.37500,590000
10107,1996-01-30,MSFT,90.81250,590000
10107,1996-01-31,MSFT,92.50000,590000
10107,1996-02-01,MSFT,94.12500,590000
10107,1996-02-02,MSFT,93.00000,590000
10107,1996-02-05,MSFT,97.12500,590000
10107,1996-02-06,MSFT,96.50000,590000
10107,1996-02-07,MSFT,96.87500,590000
10107,1996-02-08,MSFT,98.87500,590000
10107,1996-02-09,MSFT,100.12500,590000
10107,1996-02-12,MSFT,99.50000,590000
10107,1996-02-13,MSFT,99.62500,590000
10107,1996-02-14,MSFT,98.75000,590000
10107,1996-02-15,MSFT,98.50000,590000
10107,1996-02-16,MSFT,97.87500,590000
10107,1996-02-20,MSFT,97.75000,590000
10107,1996-02-21,MSFT,99.87500,590000
10107,1996-02-22,MSFT,102.50000,590000
10107,1996-02-23,MSFT,103.50000,590000
10107,1996-02-26,MSFT,100.62500,590000
10107,1996-02-27,MSFT,100.12500,590000
10107,1996-02-28,MSFT,100.12500,590000
10107,1996-02-29,MSFT,98.68750,590000
10107,1996-03-01,MSFT,95.50000,590000
10107,1996-03-04,MSFT,96.25000,590000
10107,1996-03-05,MSFT,98.12500,590000
