KYTREASNOX,MCALDT,TMYTM
2000002,2006-07-31,5.0644027118418E+00
2000002,2006-08-31,4.9965129395645E+00
2000002,2006-09-29,4.8550563334948E+00
2000002,2006-10-31,5.0408447541592E+00
2000002,2006-11-30,4.9990794426699E+00
2000002,2006-12-29,4.9884712071525E+00
2000002,2007-01-31,5.0713019736123E+00
2000002,2007-02-28,5.0969761059973E+00
2000002,2007-03-30,4.9987357078694E+00
2000002,2007-04-30,4.8768870812587E+00
2000002,2007-05-31,4.6912162649996E+00
2000002,2007-06-29,4.7627178937420E+00
2000002,2007-07-31,4.9022249042547E+00
2000002,2007-08-31,4.1169368173078E+00
2000002,2007-09-28,3.7790804813698E+00
2000002,2007-10-31,3.8920843133119E+00
2000002,2007-11-30,3.1348625473428E+00
2000002,2007-12-31,3.2264020821790E+00
2000002,2008-01-31,1.9310297631166E+00
2000002,2008-02-29,1.8291186104760E+00
2000002,2008-03-31,1.3099596288321E+00
2000002,2008-04-30,1.3812906579606E+00
2000002,2008-05-30,1.8800454085031E+00
2000002,2008-06-30,1.7271614228476E+00
2000002,2008-07-31,1.6662339016142E+00
2000002,2008-08-29,1.7171426081453E+00
2000002,2008-09-30,6.6970089522195E-01
2000002,2008-10-31,4.3620672536738E-01
2000002,2008-11-28,3.0417807348720E-02
2000002,2008-12-31,1.1154345656493E-01
2000002,2009-01-30,2.4087012650840E-01
2000002,2009-02-27,2.5355146531132E-01
2000002,2009-03-31,2.0283018008753E-01
2000002,2009-04-30,1.2675613787512E-01
2000002,2009-05-29,1.3182697860017E-01
2000002,2009-06-30,1.8507835401729E-01
2000002,2009-07-31,1.7746937981371E-01
2000002,2009-08-31,1.3689758934480E-01
2000002,2009-09-30,1.1154345656493E-01
2000002,2009-10-30,4.5627566598743E-02
2000002,2009-11-30,5.0697507480503E-02
2000002,2009-12-31,5.5767765613010E-02
2000002,2010-01-29,7.6048796464178E-02
2000002,2010-02-26,1.1661398628615E-01
2000002,2010-03-31,1.5211249009029E-01
2000002,2010-04-30,1.5718323399662E-01
2000002,2010-05-28,1.5718323399662E-01
2000002,2010-06-30,1.7239856262214E-01
2000002,2010-07-30,1.4196929051977E-01
2000002,2010-08-31,1.1661342738045E-01
2000002,2010-09-30,1.5718357248742E-01
2000002,2010-10-29,1.1661398628615E-01
2000002,2010-11-30,1.6732733083799E-01
2000002,2010-12-31,1.2168492031746E-01
2000002,2011-01-31,1.4196846213048E-01
2000002,2011-02-28,1.3689733259187E-01
2000002,2011-03-31,9.3795688277553E-02
2000002,2011-04-29,4.0557583468585E-02
2000002,2011-05-31,5.0697718742642E-02
2000002,2011-06-30,1.5208621665276E-02
2000002,2011-07-29,9.3795567752707E-02
2000002,2011-08-31,1.0139018443550E-02
2000002,2011-09-30,2.0278284739160E-02
2000002,2011-10-31,2.5347298792362E-03
2000002,2011-11-30,0.0000000000000E+00
2000002,2011-12-30,1.0139015627076E-02
2000002,2012-01-31,5.5767850823821E-02
2000002,2012-02-29,7.6048954924438E-02
2000002,2012-03-30,7.0978433016258E-02
2000002,2012-04-30,9.1259924876627E-02
2000002,2012-05-31,6.5908192467120E-02
2000002,2012-06-29,8.3654460496107E-02
2000002,2012-07-31,9.8866618204116E-02
2000002,2012-08-31,8.6189713536961E-02
2000002,2012-09-28,9.1260267165117E-02
2000002,2012-10-31,1.1154345656493E-01
2000002,2012-11-30,7.6048796464178E-02
2000002,2012-12-31,4.5627481039262E-02
2000002,2013-01-31,7.3513680851682E-02
2000002,2013-02-28,1.0647246374166E-01
2000002,2013-03-28,7.6048875694109E-02
2000002,2013-04-30,5.3232776595962E-02
2000002,2013-05-31,3.5487663718962E-02
2000002,2013-06-28,3.5487663718962E-02
2000002,2013-07-31,3.5487698223465E-02
2000002,2013-08-30,2.2813148755017E-02
2000002,2013-09-30,1.5208608991027E-02
2000002,2013-10-31,3.5487680971203E-02
2000002,2013-11-29,6.0837896289624E-02
2000002,2013-12-31,6.8443467588267E-02
2000002,2014-01-31,1.5208618496634E-02
2000002,2014-02-28,5.0697613111309E-02
2000002,2014-03-31,3.0417769324106E-02
2000002,2014-04-30,3.0417832698473E-02
2000002,2014-05-30,3.0417807348720E-02
2000002,2014-06-30,2.2813120237331E-02
2000002,2014-07-31,2.2813148755017E-02
2000002,2014-08-29,2.5348023157786E-02
2000002,2014-09-30,1.0139011402471E-02
2000002,2014-10-31,1.0139015627076E-02
2000002,2014-11-28,1.0139015627076E-02
2000002,2014-12-31,4.0557628536320E-02
2000002,2015-01-30,5.0694761287030E-03
2000002,2015-02-27,1.0139015627076E-02
2000002,2015-03-31,2.7882934881215E-02
2000002,2015-04-30,5.0694764807615E-03
2000002,2015-05-29,5.0694761287030E-03
