PERMNO,date,TICKER,PRC,SHROUT
11850,1996-01-02,XON,80.62500,1241678
11850,1996-01-03,XON,80.87500,1241678
11850,1996-01-04,XON,81.37500,1241678
11850,1996-01-05,XON,83.37500,1241678
11850,1996-01-08,XON,84.37500,1241678
11850,1996-01-09,XON,82.75000,1241678
11850,1996-01-10,XON,80.25000,1241678
11850,1996-01-11,XON,80.75000,1241678
11850,1996-01-12,XON,79.62500,1241678
11850,1996-01-15,XON,78.75000,1241678
11850,1996-01-16,XON,79.87500,1241678
11850,1996-01-17,XON,80.25000,1241678
11850,1996-01-18,XON,81.00000,1241678
11850,1996-01-19,XON,81.12500,1241678
11850,1996-01-22,XON,79.62500,1241678
11850,1996-01-23,XON,78.00000,1241678
11850,1996-01-24,XON,77.87500,1241678
11850,1996-01-25,XON,78.75000,1241678
11850,1996-01-26,XON,79.75000,1241678
11850,1996-01-29,XON,79.25000,1241678
11850,1996-01-30,XON,78.62500,1241678
11850,1996-01-31,XON,80.25000,1241678
11850,1996-02-01,XON,81.12500,1241678
11850,1996-02-02,XON,80.75000,1241678
11850,1996-02-05,XON,80.75000,1241678
11850,1996-02-06,XON,81.37500,1241678
11850,1996-02-07,XON,81.50000,1241678
11850,1996-02-08,XON,82.62500,1241678
11850,1996-02-09,XON,82.62500,1241678
11850,1996-02-12,XON,83.37500,1241678
11850,1996-02-13,XON,83.37500,1241678
11850,1996-02-14,XON,82.62500,1241678
11850,1996-02-15,XON,82.75000,1241678
11850,1996-02-16,XON,81.50000,1241678
11850,1996-02-20,XON,80.87500,1241678
11850,1996-02-21,XON,81.87500,1241678
11850,1996-02-22,XON,83.50000,1241678
11850,1996-02-23,XON,82.25000,1241678
11850,1996-02-26,XON,80.37500,1241678
11850,1996-02-27,XON,79.37500,1241678
11850,1996-02-28,XON,78.25000,1241678
11850,1996-02-29,XON,79.50000,1241678
11850,1996-03-01,XON,79.75000,1241678
11850,1996-03-04,XON,79.37500,1241678
11850,1996-03-05,XON,80.87500,1241678
11850,1996-03-06,XON,82.25000,1241678
11850,1996-03-07,XON,82.75000,1241678
11850,1996-03-08,XON,79.25000,1241678
11850,1996-03-11,XON,79.50000,1241678
11850,1996-03-12,XON,79.75000,1241678
11850,1996-03-13,XON,80.00000,1241678
11850,1996-03-14,XON,81.00000,1241678
11850,1996-03-15,XON,79.00000,1241678
11850,1996-03-18,XON,81.50000,1241678
11850,1996-03-19,XON,82.87500,1241678
11850,1996-03-20,XON,80.50000,1241678
11850,1996-03-21,XON,80.50000,1241678
11850,1996-03-22,XON,81.37500,1241678
11850,1996-03-25,XON,83.62500,1241678
11850,1996-03-26,XON,86.00000,1241678
11850,1996-03-27,XON,84.12500,1241678
11850,1996-03-28,XON,83.75000,1241678
11850,1996-03-29,XON,81.50000,1242131
11850,1996-04-01,XON,83.00000,1242131
11850,1996-04-02,XON,83.75000,1242131
11850,1996-04-03,XON,83.87500,1242131
11850,1996-04-04,XON,85.37500,1242131
11850,1996-04-08,XON,83.37500,1242131
11850,1996-04-09,XON,83.37500,1242131
11850,1996-04-10,XON,82.37500,1242131
11850,1996-04-11,XON,82.37500,1242131
11850,1996-04-12,XON,81.87500,1242131
11850,1996-04-15,XON,83.62500,1242131
11850,1996-04-16,XON,83.62500,1242131
11850,1996-04-17,XON,83.50000,1242131
11850,1996-04-18,XON,81.87500,1242131
11850,1996-04-19,XON,82.00000,1242131
11850,1996-04-22,XON,82.00000,1242131
11850,1996-04-23,XON,84.62500,1242131
11850,1996-04-24,XON,84.25000,1242131
11850,1996-04-25,XON,84.50000,1242131
11850,1996-04-26,XON,84.37500,1242131
11850,1996-04-29,XON,85.87500,1242131
11850,1996-04-30,XON,85.00000,1242131
11850,1996-05-01,XON,83.62500,1242131
11850,1996-05-02,XON,82.62500,1242131
11850,1996-05-03,XON,82.37500,1242131
11850,1996-05-06,XON,82.62500,1242131
11850,1996-05-07,XON,82.37500,1242131
11850,1996-05-08,XON,83.62500,1242131
11850,1996-05-09,XON,83.00000,1242131
11850,1996-05-10,XON,83.50000,1242131
11850,1996-05-13,XON,84.50000,1242131
11850,1996-05-14,XON,84.75000,1242131
11850,1996-05-15,XON,84.62500,1242131
11850,1996-05-16,XON,83.87500,1242131
11850,1996-05-17,XON,84.75000,1242131
11850,1996-05-20,XON,87.25000,1242131
11850,1996-05-21,XON,86.12500,1242131
11850,1996-05-22,XON,87.75000,1242131
11850,1996-05-23,XON,87.87500,1242131
11850,1996-05-24,XON,87.00000,1242131
11850,1996-05-28,XON,86.37500,1242131
11850,1996-05-29,XON,85.12500,1242131
11850,1996-05-30,XON,86.62500,1242131
11850,1996-05-31,XON,84.75000,1242131
11850,1996-06-03,XON,84.00000,1242131
11850,1996-06-04,XON,84.87500,1242131
11850,1996-06-05,XON,84.87500,1242131
11850,1996-06-06,XON,84.37500,1242131
11850,1996-06-07,XON,85.87500,1242131
11850,1996-06-10,XON,85.37500,1242131
11850,1996-06-11,XON,85.00000,1242131
11850,1996-06-12,XON,84.12500,1242131
11850,1996-06-13,XON,84.00000,1242131
11850,1996-06-14,XON,83.50000,1242131
11850,1996-06-17,XON,84.50000,1242131
11850,1996-06-18,XON,84.37500,1242131
11850,1996-06-19,XON,84.87500,1242131
11850,1996-06-20,XON,85.62500,1242131
11850,1996-06-21,XON,86.25000,1242131
11850,1996-06-24,XON,86.00000,1242131
11850,1996-06-25,XON,86.37500,1242131
11850,1996-06-26,XON,87.00000,1242131
11850,1996-06-27,XON,87.50000,1242131
11850,1996-06-28,XON,86.87500,1242076
11850,1996-07-01,XON,87.25000,1242076
11850,1996-07-02,XON,88.62500,1242076
11850,1996-07-03,XON,89.25000,1242076
11850,1996-07-05,XON,88.00000,1242076
11850,1996-07-08,XON,88.00000,1242076
11850,1996-07-09,XON,88.50000,1242076
11850,1996-07-10,XON,88.87500,1242076
11850,1996-07-11,XON,89.37500,1242076
11850,1996-07-12,XON,90.00000,1242076
11850,1996-07-15,XON,88.37500,1242076
11850,1996-07-16,XON,86.37500,1242076
11850,1996-07-17,XON,85.12500,1242076
11850,1996-07-18,XON,85.75000,1242076
11850,1996-07-19,XON,85.37500,1242076
11850,1996-07-22,XON,85.37500,1242076
11850,1996-07-23,XON,84.62500,1242076
11850,1996-07-24,XON,83.62500,1242076
11850,1996-07-25,XON,83.87500,1242076
11850,1996-07-26,XON,83.25000,1242076
11850,1996-07-29,XON,82.62500,1242076
11850,1996-07-30,XON,81.75000,1242076
11850,1996-07-31,XON,82.25000,1242076
11850,1996-08-01,XON,83.37500,1242076
11850,1996-08-02,XON,84.75000,1242076
11850,1996-08-05,XON,84.25000,1242076
11850,1996-08-06,XON,84.00000,1242076
11850,1996-08-07,XON,83.00000,1242076
11850,1996-08-08,XON,82.62500,1242076
11850,1996-08-09,XON,80.62500,1242076
11850,1996-08-12,XON,81.62500,1242076
11850,1996-08-13,XON,81.37500,1242076
11850,1996-08-14,XON,80.87500,1242076
11850,1996-08-15,XON,80.75000,1242076
11850,1996-08-16,XON,82.37500,1242076
11850,1996-08-19,XON,83.50000,1242076
11850,1996-08-20,XON,83.75000,1242076
11850,1996-08-21,XON,82.87500,1242076
11850,1996-08-22,XON,83.62500,1242076
11850,1996-08-23,XON,82.50000,1242076
11850,1996-08-26,XON,81.62500,1242076
11850,1996-08-27,XON,82.50000,1242076
11850,1996-08-28,XON,81.75000,1242076
11850,1996-08-29,XON,80.00000,1242076
11850,1996-08-30,XON,81.50000,1242076
11850,1996-09-03,XON,83.75000,1242076
11850,1996-09-04,XON,83.87500,1242076
11850,1996-09-05,XON,83.12500,1242076
11850,1996-09-06,XON,84.00000,1242076
11850,1996-09-09,XON,84.25000,1242076
11850,1996-09-10,XON,83.37500,1242076
11850,1996-09-11,XON,84.87500,1242076
11850,1996-09-12,XON,85.00000,1242076
11850,1996-09-13,XON,84.50000,1242076
11850,1996-09-16,XON,85.12500,1242076
11850,1996-09-17,XON,85.12500,1242076
11850,1996-09-18,XON,85.75000,1242076
11850,1996-09-19,XON,85.87500,1242076
11850,1996-09-20,XON,86.87500,1242076
11850,1996-09-23,XON,86.62500,1242076
11850,1996-09-24,XON,86.25000,1242076
11850,1996-09-25,XON,85.12500,1242076
11850,1996-09-26,XON,84.00000,1242076
11850,1996-09-27,XON,83.37500,1242076
11850,1996-09-30,XON,83.25000,1241850
11850,1996-10-01,XON,85.25000,1241850
11850,1996-10-02,XON,85.75000,1241850
11850,1996-10-03,XON,86.00000,1241850
11850,1996-10-04,XON,87.87500,1241850
11850,1996-10-07,XON,87.87500,1241850
11850,1996-10-08,XON,87.50000,1241850
11850,1996-10-09,XON,86.12500,1241850
11850,1996-10-10,XON,85.87500,1241850
11850,1996-10-11,XON,86.37500,1241850
11850,1996-10-14,XON,87.62500,1241850
11850,1996-10-15,XON,87.12500,1241850
11850,1996-10-16,XON,87.37500,1241850
11850,1996-10-17,XON,88.12500,1241850
11850,1996-10-18,XON,89.37500,1241850
11850,1996-10-21,XON,89.00000,1241850
11850,1996-10-22,XON,88.00000,1241850
11850,1996-10-23,XON,88.62500,1241850
11850,1996-10-24,XON,87.25000,1241850
11850,1996-10-25,XON,88.50000,1241850
11850,1996-10-28,XON,88.25000,1241850
11850,1996-10-29,XON,89.62500,1241850
11850,1996-10-30,XON,89.12500,1241850
11850,1996-10-31,XON,88.62500,1241850
11850,1996-11-01,XON,88.25000,1241850
11850,1996-11-04,XON,88.50000,1241850
11850,1996-11-05,XON,88.25000,1241850
11850,1996-11-06,XON,88.62500,1241850
11850,1996-11-07,XON,88.50000,1241850
11850,1996-11-08,XON,89.37500,1241850
11850,1996-11-11,XON,90.00000,1241850
11850,1996-11-12,XON,89.00000,1241850
11850,1996-11-13,XON,90.25000,1241850
11850,1996-11-14,XON,90.12500,1241850
11850,1996-11-15,XON,90.25000,1241850
11850,1996-11-18,XON,91.25000,1241850
11850,1996-11-19,XON,92.00000,1241850
11850,1996-11-20,XON,91.25000,1241850
11850,1996-11-21,XON,90.87500,1241850
11850,1996-11-22,XON,92.87500,1241850
11850,1996-11-25,XON,94.87500,1241850
11850,1996-11-26,XON,94.87500,1241850
11850,1996-11-27,XON,93.75000,1241850
11850,1996-11-29,XON,94.37500,1241781
11850,1996-12-02,XON,94.87500,1241781
11850,1996-12-03,XON,94.50000,1241781
11850,1996-12-04,XON,93.87500,1241781
11850,1996-12-05,XON,95.00000,1241781
11850,1996-12-06,XON,94.87500,1241781
